,method,split,field,horizon,mu_id,k0,abs_mean,abs_max,abs_fin,rel_mean,rel_max,rel_fin,mse_fin
0,vanilla,extrap,u_fine,320,170,573,6.337642669677734,9.162435531616211,6.31215238571167,0.13283585011959076,0.16584205627441406,0.15715935826301575,0.038909442722797394
1,vanilla,extrap,u_fine,320,170,642,5.374794006347656,8.721901893615723,5.7437357902526855,0.12338417023420334,0.17359937727451324,0.1632383018732071,0.03221728652715683
2,vanilla,extrap,u_fine,320,170,557,6.396270751953125,9.3577880859375,7.702406406402588,0.13429276645183563,0.16825051605701447,0.15053005516529083,0.05793658643960953
3,vanilla,extrap,u_fine,320,170,544,6.324803829193115,9.477298736572266,7.344069480895996,0.134240061044693,0.17064501345157623,0.1309187114238739,0.052671242505311966
4,vanilla,extrap,u_fine,320,170,643,5.36610746383667,8.713828086853027,5.804052352905273,0.12328238785266876,0.17338870465755463,0.1644493043422699,0.03289748728275299
5,vanilla,extrap,u_fine,320,170,658,5.288009166717529,8.179821014404297,6.798547744750977,0.12369878590106964,0.1755969375371933,0.1755969375371933,0.045136965811252594
6,vanilla,extrap,u_fine,320,170,515,6.4093523025512695,9.491545677185059,8.962199211120605,0.1423099935054779,0.17881833016872406,0.1469172090291977,0.07843849062919617
7,vanilla,extrap,u_fine,320,170,511,6.174292087554932,9.379852294921875,9.032386779785156,0.13813090324401855,0.17515569925308228,0.1485917717218399,0.07967188209295273
8,vanilla,extrap,u_fine,320,170,621,5.626979351043701,8.733646392822266,5.324798583984375,0.1256183385848999,0.17332994937896729,0.15152733027935028,0.027688942849636078
9,vanilla,extrap,u_fine,320,170,561,6.325222969055176,9.232390403747559,7.21168851852417,0.13259272277355194,0.16634176671504974,0.1488228589296341,0.05078950524330139
10,vanilla,extrap,u_fine,320,127,604,3.793271780014038,6.030010223388672,3.474663734436035,0.09155192226171494,0.1398085057735443,0.07905027270317078,0.01179032027721405
11,vanilla,extrap,u_fine,320,127,528,4.169435024261475,7.215586185455322,5.340973854064941,0.09465372562408447,0.1618504822254181,0.15323469042778015,0.027857422828674316
12,vanilla,extrap,u_fine,320,127,655,4.026856899261475,7.244684219360352,7.244684219360352,0.09256251901388168,0.13922657072544098,0.12852974236011505,0.05125531554222107
13,vanilla,extrap,u_fine,320,127,582,3.8008618354797363,6.08452844619751,4.0861310958862305,0.0913420170545578,0.14153094589710236,0.10210494697093964,0.016305141150951385
14,vanilla,extrap,u_fine,320,127,662,3.7780442237854004,7.2133636474609375,7.2133636474609375,0.08554674685001373,0.1313602328300476,0.1313602328300476,0.05081310123205185
15,vanilla,extrap,u_fine,320,127,644,4.019435882568359,6.270166397094727,6.119204998016357,0.09427355974912643,0.1446441411972046,0.11119728535413742,0.03656706213951111
16,vanilla,extrap,u_fine,320,127,627,4.124876499176025,6.713059902191162,4.013335227966309,0.09854160994291306,0.15130573511123657,0.07931160926818848,0.015729356557130814
17,vanilla,extrap,u_fine,320,127,542,4.413135528564453,7.562878131866455,4.685390472412109,0.10178878158330917,0.1680041402578354,0.13846440613269806,0.021438363939523697
18,vanilla,extrap,u_fine,320,127,639,4.0729899406433105,6.4385480880737305,5.2491631507873535,0.09617294371128082,0.14701738953590393,0.0976344421505928,0.026907922700047493
19,vanilla,extrap,u_fine,320,127,510,3.5153701305389404,5.937028884887695,4.505895137786865,0.07791782915592194,0.11391164362430573,0.11391164362430573,0.019827239215373993
20,vanilla,extrap,u_fine,320,102,603,3.816781759262085,7.778392314910889,7.778392314910889,0.08853095024824142,0.14627502858638763,0.14627502858638763,0.059085339307785034
21,vanilla,extrap,u_fine,320,102,573,3.135331630706787,5.138550281524658,5.138550281524658,0.07516198605298996,0.11788386106491089,0.11093205213546753,0.025785841047763824
22,vanilla,extrap,u_fine,320,102,680,4.353569030761719,7.614161491394043,5.5231547355651855,0.09816648811101913,0.15325519442558289,0.15325519442558289,0.029790271073579788
23,vanilla,extrap,u_fine,320,102,536,3.2039525508880615,5.245582103729248,4.802419185638428,0.07688770443201065,0.126194030046463,0.12445845454931259,0.022522686049342155
24,vanilla,extrap,u_fine,320,102,671,4.191757678985596,7.553674221038818,5.577489852905273,0.09384960681200027,0.14900223910808563,0.1452184021472931,0.030379291623830795
25,vanilla,extrap,u_fine,320,102,517,3.0361366271972656,5.03265905380249,4.270951271057129,0.07136046886444092,0.11480981856584549,0.11278218775987625,0.01781350187957287
26,vanilla,extrap,u_fine,320,102,613,3.7527358531951904,7.878276348114014,7.5930657386779785,0.08560394495725632,0.14741861820220947,0.14356154203414917,0.056303367018699646
27,vanilla,extrap,u_fine,320,102,605,3.832517385482788,7.865113735198975,7.865113735198975,0.08864303678274155,0.14736083149909973,0.14736083149909973,0.06041017174720764
28,vanilla,extrap,u_fine,320,102,662,4.17525053024292,7.633336067199707,6.184417247772217,0.09309723973274231,0.15039056539535522,0.148858442902565,0.0373506024479866
29,vanilla,extrap,u_fine,320,102,554,3.2465312480926514,5.290112018585205,4.576929092407227,0.07822146266698837,0.1255292147397995,0.11147197335958481,0.020457305014133453
30,vanilla,extrap,u_fine,320,53,663,4.886244773864746,8.985466957092285,3.199359893798828,0.10411222279071808,0.15374213457107544,0.08705610781908035,0.009995999746024609
31,vanilla,extrap,u_fine,320,53,621,5.1059794425964355,8.987038612365723,6.631711483001709,0.10810794681310654,0.15378710627555847,0.133274108171463,0.04294882342219353
32,vanilla,extrap,u_fine,320,53,661,4.911465644836426,8.958984375,3.2344720363616943,0.1044456958770752,0.15336506068706512,0.08707921206951141,0.0102166086435318
33,vanilla,extrap,u_fine,320,53,536,4.938893795013428,11.103278160095215,4.967755317687988,0.11090996116399765,0.1893502026796341,0.11442135274410248,0.02410019002854824
34,vanilla,extrap,u_fine,320,53,637,5.135930061340332,9.052242279052734,4.574797630310059,0.1086980327963829,0.1548658311367035,0.10892357677221298,0.02043825387954712
35,vanilla,extrap,u_fine,320,53,670,4.865035533905029,9.141657829284668,3.047314167022705,0.10446496307849884,0.15635789930820465,0.08616477996110916,0.00906848069280386
36,vanilla,extrap,u_fine,320,53,509,4.812022686004639,10.553182601928711,3.624570608139038,0.10565805435180664,0.18015387654304504,0.10099269449710846,0.012829601764678955
37,vanilla,extrap,u_fine,320,53,566,4.607066631317139,10.141875267028809,7.3707475662231445,0.10105710476636887,0.173426553606987,0.1387363225221634,0.05305460840463638
38,vanilla,extrap,u_fine,320,53,615,5.044861793518066,9.033411979675293,7.7665534019470215,0.10648610442876816,0.15443961322307587,0.14476639032363892,0.05890561640262604
39,vanilla,extrap,u_fine,320,53,519,4.662245273590088,10.294370651245117,4.392991065979004,0.10457923263311386,0.17588968575000763,0.11391685158014297,0.018846066668629646
40,vanilla,extrap,u_fine,320,61,592,9.45982837677002,19.653221130371094,4.726201057434082,0.1734766811132431,0.280324250459671,0.13737329840660095,0.02181345410645008
41,vanilla,extrap,u_fine,320,61,614,8.088343620300293,18.88442611694336,3.917264223098755,0.15306486189365387,0.2692822813987732,0.11571791768074036,0.014985311776399612
42,vanilla,extrap,u_fine,320,61,638,7.14208984375,18.834203720092773,6.17735481262207,0.14468370378017426,0.2686213254928589,0.17642968893051147,0.037265345454216
43,vanilla,extrap,u_fine,320,61,667,7.533372402191162,18.414573669433594,10.04175853729248,0.1593693345785141,0.2626363933086395,0.22667735815048218,0.09847354888916016
44,vanilla,extrap,u_fine,320,61,574,10.294234275817871,20.00246810913086,6.0110697746276855,0.18718765676021576,0.28540870547294617,0.1490722894668579,0.03528609499335289
45,vanilla,extrap,u_fine,320,61,580,10.183550834655762,19.968534469604492,5.498966693878174,0.18572966754436493,0.28486230969429016,0.14696265757083893,0.029529916122555733
46,vanilla,extrap,u_fine,320,61,586,9.88479995727539,19.828725814819336,5.07208776473999,0.1807921975851059,0.282876193523407,0.14283500611782074,0.025123117491602898
47,vanilla,extrap,u_fine,320,61,672,7.64047384262085,18.441967010498047,10.92586612701416,0.16149331629276276,0.2630269527435303,0.23131415247917175,0.11657671630382538
48,vanilla,extrap,u_fine,320,61,536,10.124715805053711,20.329959869384766,16.073455810546875,0.18843941390514374,0.29011866450309753,0.24824917316436768,0.2523007392883301
