,step,t,dyn_sigma_max,dyn_sigma_min,dyn_cond,dec_gain,latent_err,method,split,field,horizon,mu_id,k0
0,0,18.001325607299805,3.1315505504608154,0.015215464867651463,205.81365966796875,1.9899953603744507,0.0002363145467825234,vanilla,extrap,u_fine,320,170,573
1,64,20.011945724487305,4.371010780334473,0.028068754822015762,155.7251434326172,2.1166560649871826,3.419177293777466,vanilla,extrap,u_fine,320,170,573
2,128,22.022563934326172,3.9160759449005127,0.002589654875919223,1512.199951171875,2.0351665019989014,4.33083963394165,vanilla,extrap,u_fine,320,170,573
3,192,24.033184051513672,3.5662407875061035,0.018418988212943077,193.6176300048828,2.0369765758514404,4.028520584106445,vanilla,extrap,u_fine,320,170,573
4,256,26.04380226135254,5.995786666870117,0.0447264090180397,134.0547332763672,2.110306978225708,4.055388450622559,vanilla,extrap,u_fine,320,170,573
5,320,28.05442237854004,3.4190585613250732,0.0124271921813488,275.127197265625,2.0411839485168457,4.73153018951416,vanilla,extrap,u_fine,320,170,573
6,0,20.169025421142578,5.032558917999268,0.019276591017842293,261.0710144042969,2.1015539169311523,0.00036053062649443746,vanilla,extrap,u_fine,320,170,642
7,64,22.179643630981445,3.3493661880493164,0.02727675251662731,122.7919692993164,1.9850540161132812,3.670673131942749,vanilla,extrap,u_fine,320,170,642
8,128,24.190263748168945,2.4764413833618164,0.00015106541104614735,16393.171875,2.0076165199279785,3.404043674468994,vanilla,extrap,u_fine,320,170,642
9,192,26.200881958007812,4.848891258239746,0.0011970882769674063,4050.571044921875,2.109149694442749,2.7486283779144287,vanilla,extrap,u_fine,320,170,642
10,256,28.211502075195312,3.1558408737182617,0.02076655626296997,151.96746826171875,2.0163767337799072,3.855768918991089,vanilla,extrap,u_fine,320,170,642
11,320,30.222122192382812,2.6678895950317383,0.0010536055779084563,2532.152099609375,2.014162063598633,3.7741947174072266,vanilla,extrap,u_fine,320,170,642
12,0,17.49867057800293,3.115556001663208,0.007469761185348034,417.089111328125,1.9296302795410156,0.00029172477661632,vanilla,extrap,u_fine,320,170,557
13,64,19.50929069519043,4.892666816711426,0.012699075043201447,385.27740478515625,2.0928971767425537,3.293494462966919,vanilla,extrap,u_fine,320,170,557
14,128,21.519908905029297,3.461618423461914,0.0036172643303871155,956.9713745117188,2.052891731262207,4.646595001220703,vanilla,extrap,u_fine,320,170,557
15,192,23.530529022216797,4.172499179840088,0.009088057093322277,459.11895751953125,1.9382497072219849,3.1650543212890625,vanilla,extrap,u_fine,320,170,557
16,256,25.541149139404297,6.141663074493408,0.029537592083215714,207.927001953125,2.09334659576416,5.026505947113037,vanilla,extrap,u_fine,320,170,557
17,320,27.551767349243164,5.498830318450928,0.05125144124031067,107.29122924804688,2.0679771900177,4.855152130126953,vanilla,extrap,u_fine,320,170,557
18,0,17.09026336669922,3.0110514163970947,0.008291429840028286,363.1522521972656,1.8374714851379395,0.00020470379968173802,vanilla,extrap,u_fine,320,170,544
19,64,19.10088348388672,6.315550327301025,0.03289934992790222,191.96580505371094,2.092316150665283,4.110983371734619,vanilla,extrap,u_fine,320,170,544
20,128,21.111501693725586,4.373039722442627,0.08819247782230377,49.58517837524414,2.0716331005096436,4.8970627784729,vanilla,extrap,u_fine,320,170,544
21,192,23.122121810913086,4.095576763153076,0.0032020662911236286,1279.0418701171875,1.7208843231201172,3.1258022785186768,vanilla,extrap,u_fine,320,170,544
22,256,25.132741928100586,3.837799549102783,0.0026519321836531162,1447.1710205078125,2.0575313568115234,5.007612705230713,vanilla,extrap,u_fine,320,170,544
23,320,27.143360137939453,4.81010103225708,0.08075720071792603,59.562503814697266,1.7615382671356201,4.634459495544434,vanilla,extrap,u_fine,320,170,544
24,0,20.200441360473633,4.443901062011719,0.016741668805480003,265.4395446777344,2.0989484786987305,0.00032414007000625134,vanilla,extrap,u_fine,320,170,643
25,64,22.2110595703125,3.261012077331543,0.01522914133965969,214.12974548339844,2.013258934020996,3.623103141784668,vanilla,extrap,u_fine,320,170,643
26,128,24.2216796875,2.5059468746185303,0.003766730660572648,665.2843017578125,2.0308456420898438,3.3981330394744873,vanilla,extrap,u_fine,320,170,643
27,192,26.232297897338867,4.666755199432373,0.009774141013622284,477.4593811035156,2.119068145751953,2.7119157314300537,vanilla,extrap,u_fine,320,170,643
28,256,28.242918014526367,3.339902400970459,0.009126276709139347,365.9654846191406,1.9968469142913818,3.8200056552886963,vanilla,extrap,u_fine,320,170,643
29,320,30.253538131713867,2.6592226028442383,0.0027985558845102787,950.2124633789062,1.995774507522583,3.8105380535125732,vanilla,extrap,u_fine,320,170,643
30,0,20.671680450439453,4.403436660766602,0.003922927659004927,1122.4873046875,2.0179216861724854,0.0003625997342169285,vanilla,extrap,u_fine,320,170,658
31,64,22.68229866027832,3.1777381896972656,0.01235314179211855,257.2413024902344,1.9840511083602905,2.7437405586242676,vanilla,extrap,u_fine,320,170,658
32,128,24.69291877746582,3.1025705337524414,0.007310756482183933,424.38433837890625,2.047290563583374,2.9390170574188232,vanilla,extrap,u_fine,320,170,658
33,192,26.703536987304688,3.8497228622436523,0.0052738008089363575,729.9712524414062,2.063002586364746,3.1551263332366943,vanilla,extrap,u_fine,320,170,658
34,256,28.714157104492188,3.276811122894287,0.02563568204641342,127.82227325439453,2.011399030685425,3.287076473236084,vanilla,extrap,u_fine,320,170,658
