,method,split,field,horizon,mu_id,k0,abs_mean,abs_max,abs_fin,rel_mean,rel_max,rel_fin,mse_fin
0,vanilla,extrap,u_fine,320,170,573,6.87146520614624,9.879104614257812,7.224210739135742,0.1444176733493805,0.18867944180965424,0.1798676997423172,0.050966039299964905
1,vanilla,extrap,u_fine,320,170,642,5.96099328994751,8.792779922485352,5.57990026473999,0.13645851612091064,0.17613182961940765,0.15858204662799835,0.030405551195144653
2,vanilla,extrap,u_fine,320,170,557,6.365078926086426,8.985039710998535,8.096549987792969,0.13328759372234344,0.17045578360557556,0.1582329124212265,0.06401769816875458
3,vanilla,extrap,u_fine,320,170,544,6.195806980133057,8.916696548461914,8.288819313049316,0.1316334754228592,0.16943702101707458,0.14776024222373962,0.06709425896406174
4,vanilla,extrap,u_fine,320,170,643,5.954162120819092,8.77447509765625,5.662217617034912,0.1364554464817047,0.17695878446102142,0.16043062508106232,0.03130928426980972
5,vanilla,extrap,u_fine,320,170,658,5.256516933441162,8.353638648986816,6.269705772399902,0.12151985615491867,0.17205810546875,0.16193769872188568,0.038387905806303024
6,vanilla,extrap,u_fine,320,170,515,6.791029453277588,10.117213249206543,7.616542339324951,0.15004439651966095,0.19978858530521393,0.12485787272453308,0.056652069091796875
7,vanilla,extrap,u_fine,320,170,511,6.888339996337891,10.228656768798828,8.040987014770508,0.15325500071048737,0.20545226335525513,0.13228225708007812,0.06314206123352051
8,vanilla,extrap,u_fine,320,170,621,6.583494663238525,9.415637016296387,5.222350120544434,0.1451728790998459,0.1814046949148178,0.14861196279525757,0.0266337301582098
9,vanilla,extrap,u_fine,320,170,561,6.4616899490356445,9.036552429199219,7.906111717224121,0.13537827134132385,0.1716359406709671,0.16315320134162903,0.06104160100221634
10,vanilla,extrap,u_fine,320,127,604,4.566079616546631,7.292768955230713,5.320618152618408,0.1093207374215126,0.13568922877311707,0.12104662507772446,0.02764548733830452
11,vanilla,extrap,u_fine,320,127,528,4.933386325836182,8.698705673217773,4.700371265411377,0.10963468998670578,0.1562485545873642,0.13485553860664368,0.021575674414634705
12,vanilla,extrap,u_fine,320,127,655,4.656446933746338,8.78817081451416,8.78817081451416,0.10542930662631989,0.15591312944889069,0.15591312944889069,0.07542181760072708
13,vanilla,extrap,u_fine,320,127,582,4.50130558013916,6.838465690612793,4.932464599609375,0.1079363152384758,0.14328397810459137,0.12325327843427658,0.023758990690112114
14,vanilla,extrap,u_fine,320,127,662,4.695841312408447,8.794733047485352,8.35836410522461,0.10460187494754791,0.15594211220741272,0.15221147239208221,0.06822484731674194
15,vanilla,extrap,u_fine,320,127,644,4.688527584075928,7.547369003295898,6.820829391479492,0.10904941707849503,0.13643476366996765,0.12394709885120392,0.04543331637978554
16,vanilla,extrap,u_fine,320,127,627,4.791969299316406,7.70654296875,5.374233245849609,0.113507941365242,0.13775970041751862,0.10620570182800293,0.028205452486872673
17,vanilla,extrap,u_fine,320,127,542,4.728853225708008,8.658735275268555,4.6310529708862305,0.10667150467634201,0.15555277466773987,0.13685861229896545,0.02094399556517601
18,vanilla,extrap,u_fine,320,127,639,4.787749290466309,7.717916011810303,6.265096664428711,0.11233723163604736,0.1391947865486145,0.11653081327676773,0.03833147883415222
19,vanilla,extrap,u_fine,320,127,510,5.128087043762207,8.891497611999512,4.770060062408447,0.1128455400466919,0.15853293240070343,0.12058988958597183,0.0222201906144619
20,vanilla,extrap,u_fine,320,102,603,3.4167656898498535,5.309725284576416,5.242749214172363,0.07911553233861923,0.10245337337255478,0.09859149158000946,0.026842202991247177
21,vanilla,extrap,u_fine,320,102,573,3.115070104598999,5.130188941955566,3.743907928466797,0.07426843792200089,0.09918101131916046,0.08082423359155655,0.013688325881958008
22,vanilla,extrap,u_fine,320,102,680,3.2555596828460693,4.697340488433838,2.9123809337615967,0.07356488704681396,0.08924202620983124,0.08081205934286118,0.008283166214823723
23,vanilla,extrap,u_fine,320,102,536,2.545250654220581,4.30101203918457,2.8132588863372803,0.06073817238211632,0.08365681022405624,0.07290780544281006,0.007728931028395891
24,vanilla,extrap,u_fine,320,102,671,3.0755348205566406,4.626158714294434,3.124791145324707,0.06909137219190598,0.08785530179738998,0.08135867118835449,0.009535469114780426
25,vanilla,extrap,u_fine,320,102,517,2.903779983520508,4.526071548461914,2.8715381622314453,0.06765752285718918,0.08754809200763702,0.07582815736532211,0.008052472025156021
26,vanilla,extrap,u_fine,320,102,613,2.9283151626586914,4.693839073181152,4.634277820587158,0.06715387105941772,0.0906946063041687,0.08761995285749435,0.020973175764083862
27,vanilla,extrap,u_fine,320,102,605,3.2499053478240967,5.1155524253845215,5.071742057800293,0.07511326670646667,0.0987396240234375,0.09502419829368591,0.02511969581246376
28,vanilla,extrap,u_fine,320,102,662,2.8986928462982178,4.55037784576416,3.238384246826172,0.06487710773944855,0.08785127103328705,0.07794765383005142,0.010241339914500713
29,vanilla,extrap,u_fine,320,102,554,2.713085174560547,4.293165683746338,3.0447957515716553,0.06518173217773438,0.08313348144292831,0.07415657490491867,0.009053497575223446
30,vanilla,extrap,u_fine,320,53,663,6.330613613128662,14.278305053710938,3.8783860206604004,0.1327286809682846,0.2432243376970291,0.10553273558616638,0.014689335599541664
31,vanilla,extrap,u_fine,320,53,621,6.428494453430176,13.55174446105957,10.347707748413086,0.13076476752758026,0.23123566806316376,0.2079525738954544,0.10456547886133194
32,vanilla,extrap,u_fine,320,53,661,6.3456711769104,14.341414451599121,4.19570255279541,0.13246439397335052,0.24422286450862885,0.11295768618583679,0.0171913281083107
33,vanilla,extrap,u_fine,320,53,536,6.634225368499756,15.283278465270996,7.290731906890869,0.14783349633216858,0.25961539149284363,0.16792601346969604,0.0519089549779892
34,vanilla,extrap,u_fine,320,53,637,6.378599643707275,13.865241050720215,7.347095012664795,0.12973925471305847,0.2364528924226761,0.17493054270744324,0.052714649587869644
35,vanilla,extrap,u_fine,320,53,670,6.26874303817749,14.027362823486328,3.165696859359741,0.1332363784313202,0.23910534381866455,0.08951212465763092,0.009786754846572876
36,vanilla,extrap,u_fine,320,53,509,6.581326484680176,13.207133293151855,5.695082187652588,0.1482705920934677,0.22576390206813812,0.15868408977985382,0.03167378902435303
37,vanilla,extrap,u_fine,320,53,566,5.981226921081543,12.876051902770996,11.537430763244629,0.13067036867141724,0.22006388008594513,0.21716395020484924,0.12999248504638672
38,vanilla,extrap,u_fine,320,53,615,6.54201602935791,13.861554145812988,12.224315643310547,0.13346214592456818,0.2361229509115219,0.22785784304141998,0.14593152701854706
39,vanilla,extrap,u_fine,320,53,519,6.527778148651123,14.344815254211426,6.2231526374816895,0.14658454060554504,0.24463380873203278,0.16137568652629852,0.03781994432210922
40,vanilla,extrap,u_fine,320,61,592,10.394203186035156,20.546554565429688,5.896453857421875,0.1913219690322876,0.29981085658073425,0.17138825356960297,0.033953286707401276
41,vanilla,extrap,u_fine,320,61,614,8.75664234161377,18.943368911743164,4.934598922729492,0.16708432137966156,0.27163273096084595,0.14577049016952515,0.023779558017849922
42,vanilla,extrap,u_fine,320,61,638,8.287332534790039,18.79353141784668,8.038102149963379,0.16931873559951782,0.26901721954345703,0.22957396507263184,0.06309676915407181
43,vanilla,extrap,u_fine,320,61,667,8.768473625183105,19.265474319458008,11.433127403259277,0.18797039985656738,0.2763728201389313,0.2580853998661041,0.12765273451805115
44,vanilla,extrap,u_fine,320,61,574,11.113944053649902,20.878530502319336,7.820903778076172,0.2038821280002594,0.3038243353366852,0.19395548105239868,0.05973294377326965
45,vanilla,extrap,u_fine,320,61,580,11.125680923461914,21.08395767211914,7.161154747009277,0.20443780720233917,0.30715471506118774,0.19138546288013458,0.05008020997047424
46,vanilla,extrap,u_fine,320,61,586,10.95246410369873,21.120960235595703,6.615376949310303,0.20155830681324005,0.30802077054977417,0.1862955540418625,0.04273751750588417
47,vanilla,extrap,u_fine,320,61,672,8.974837303161621,19.515748977661133,12.553788185119629,0.19215214252471924,0.2801683843135834,0.2657792866230011,0.15390390157699585
48,vanilla,extrap,u_fine,320,61,536,10.938780784606934,19.533649444580078,16.620899200439453,0.2071434110403061,0.28364989161491394,0.2567042410373688,0.26977962255477905
49,vanilla,extrap,u_fine,320,61,590,10.598221778869629,20.783077239990234,6.148758411407471,0.19503937661647797,0.3033769428730011,0.17720972001552582,0.036921121180057526
50,vanilla,extrap,u_fine,320,8,509,9.024089813232422,19.243879318237305,7.095747470855713,0.19774308800697327,0.30683791637420654,0.20436574518680573,0.04916956275701523
51,vanilla,extrap,u_fine,320,8,577,9.349438667297363,19.720821380615234,16.689363479614258,0.2012949436903,0.3152785897254944,0.2966717481613159,0.27200669050216675
52,vanilla,extrap,u_fine,320,8,671,8.354891777038574,18.421310424804688,4.247437953948975,0.17239442467689514,0.29385194182395935,0.1211930587887764,0.01761789806187153
