step,t,dyn_sigma_max,dyn_sigma_min,dyn_cond,dec_gain,latent_err,method,split,field,horizon,window_id,mu_id,k0,run
0,20.011945724487305,3.8529348373413086,0.027284640818834305,141.21258544921875,3.48620343208313,0.00014659055159427226,vanilla,extrap,u_fine,160,0,170,637,1
32,21.017255783081055,2.1766960620880127,0.0014383611269295216,1513.3167724609375,3.4712445735931396,1.3363351821899414,vanilla,extrap,u_fine,160,0,170,637,1
64,22.022563934326172,1.6365019083023071,0.0024198575410991907,676.2802734375,3.2325079441070557,1.357054352760315,vanilla,extrap,u_fine,160,0,170,637,1
96,23.027873992919922,2.635387659072876,0.0007369184750132263,3576.226806640625,3.3299028873443604,0.8811241984367371,vanilla,extrap,u_fine,160,0,170,637,1
128,24.033184051513672,2.424938678741455,0.011463891714811325,211.5283966064453,3.4011199474334717,1.420723795890808,vanilla,extrap,u_fine,160,0,170,637,1
160,25.038494110107422,2.6884701251983643,0.015599202364683151,172.3466339111328,3.462656021118164,2.314885139465332,vanilla,extrap,u_fine,160,0,170,637,1
0,24.127431869506836,2.369353771209717,0.013537981547415257,175.01528930664062,3.359959125518799,0.00012770379544235766,vanilla,extrap,u_fine,160,1,170,768,1
32,25.132741928100586,2.541154146194458,0.012425299733877182,204.51451110839844,3.47505521774292,2.0753378868103027,vanilla,extrap,u_fine,160,1,170,768,1
64,26.138050079345703,3.5921127796173096,0.05963297188282013,60.23702621459961,3.385136365890503,2.1644835472106934,vanilla,extrap,u_fine,160,1,170,768,1
96,27.143360137939453,2.9311187267303467,0.013269180431962013,220.89674377441406,3.5016753673553467,2.2305331230163574,vanilla,extrap,u_fine,160,1,170,768,1
128,28.148670196533203,2.021392583847046,0.021143680438399315,95.6026840209961,3.4429121017456055,1.83409583568573,vanilla,extrap,u_fine,160,1,170,768,1
160,29.153980255126953,1.8359121084213257,0.013066559098660946,140.504638671875,3.111041784286499,1.727013111114502,vanilla,extrap,u_fine,160,1,170,768,1
0,19.10088348388672,2.7631516456604004,0.0162265095859766,170.2862548828125,3.472018003463745,9.828302427195013e-05,vanilla,extrap,u_fine,160,2,170,608,1
32,20.10619354248047,3.553560733795166,0.06666068732738495,53.30819320678711,3.515038251876831,2.356381893157959,vanilla,extrap,u_fine,160,2,170,608,1
64,21.111501693725586,2.2297468185424805,0.005069825332611799,439.80743408203125,3.399352550506592,1.8144216537475586,vanilla,extrap,u_fine,160,2,170,608,1
96,22.116811752319336,1.9993162155151367,0.018239326775074005,109.61567687988281,3.3991427421569824,1.404619574546814,vanilla,extrap,u_fine,160,2,170,608,1
128,23.122121810913086,2.2725648880004883,0.002325312467291951,977.31591796875,3.343515634536743,1.1873812675476074,vanilla,extrap,u_fine,160,2,170,608,1
160,24.127431869506836,2.3861124515533447,0.012151977978646755,196.35589599609375,3.3381690979003906,1.9510855674743652,vanilla,extrap,u_fine,160,2,170,608,1
0,18.284069061279297,2.338796854019165,0.014592021703720093,160.27914428710938,3.4042041301727295,0.00013148548896424472,vanilla,extrap,u_fine,160,3,170,582,1
32,19.289379119873047,2.8447797298431396,0.04333144426345825,65.65162658691406,3.5023772716522217,1.7697088718414307,vanilla,extrap,u_fine,160,3,170,582,1
64,20.294689178466797,2.9145195484161377,0.016290057450532913,178.9140167236328,3.3789050579071045,2.0864381790161133,vanilla,extrap,u_fine,160,3,170,582,1
96,21.299997329711914,2.1755168437957764,0.006723936181515455,323.548095703125,3.4815351963043213,2.0029397010803223,vanilla,extrap,u_fine,160,3,170,582,1
128,22.305307388305664,1.9866114854812622,0.0007035558810457587,2823.672607421875,3.3937816619873047,1.4204069375991821,vanilla,extrap,u_fine,160,3,170,582,1
