,step,t,dyn_sigma_max,dyn_sigma_min,dyn_cond,dec_gain,latent_err,method,split,field,horizon,mu_id,k0
0,0,17.749998092651367,2.986173152923584,0.0020322937052696943,1469.3609619140625,3.3512282371520996,4.518850619206205e-05,vanilla,extrap,u_coarse,40,170,113
1,8,19.006635665893555,5.294008731842041,0.04057157039642334,130.4856719970703,3.4096195697784424,1.2211024761199951,vanilla,extrap,u_coarse,40,170,113
2,16,20.263273239135742,3.735107421875,0.08651703596115112,43.17192840576172,3.5038812160491943,1.4913132190704346,vanilla,extrap,u_coarse,40,170,113
3,24,21.519908905029297,2.2286887168884277,0.027699844911694527,80.45852661132812,3.3152449131011963,1.4712209701538086,vanilla,extrap,u_coarse,40,170,113
4,32,22.776546478271484,2.3836183547973633,0.004819634836167097,494.5640869140625,3.285564422607422,1.27587890625,vanilla,extrap,u_coarse,40,170,113
5,40,24.033184051513672,3.5573153495788574,0.016901589930057526,210.47222900390625,3.408965587615967,1.5627280473709106,vanilla,extrap,u_coarse,40,170,113
6,0,22.462387084960938,2.8189334869384766,0.00965093169361353,292.0892639160156,3.3367626667022705,4.51390296802856e-05,vanilla,extrap,u_coarse,40,170,143
7,8,23.719024658203125,2.6119637489318848,0.039448127150535583,66.21261596679688,3.299593687057495,0.7943496108055115,vanilla,extrap,u_coarse,40,170,143
8,16,24.975662231445312,4.507055759429932,0.04930548369884491,91.41084289550781,3.4537298679351807,1.4902437925338745,vanilla,extrap,u_coarse,40,170,143
9,24,26.232297897338867,4.247357368469238,0.0028702940326184034,1479.763916015625,3.5532994270324707,1.5749906301498413,vanilla,extrap,u_coarse,40,170,143
10,32,27.488935470581055,3.062817335128784,0.08281724900007248,36.98284149169922,3.4118998050689697,1.6146159172058105,vanilla,extrap,u_coarse,40,170,143
11,40,28.745573043823242,2.486178398132324,0.021041622385382652,118.15525817871094,3.3208134174346924,1.343434453010559,vanilla,extrap,u_coarse,40,170,143
12,0,16.650440216064453,2.6085047721862793,0.009341545403003693,279.2369689941406,3.2830212116241455,3.632588777691126e-05,vanilla,extrap,u_coarse,40,170,106
13,8,17.90707778930664,3.2444615364074707,0.0030280081555247307,1071.4837646484375,3.3816590309143066,0.9388517141342163,vanilla,extrap,u_coarse,40,170,106
14,16,19.163715362548828,3.8828365802764893,0.01823420636355877,212.94244384765625,3.2459158897399902,1.5482301712036133,vanilla,extrap,u_coarse,40,170,106
15,24,20.420352935791016,2.927332878112793,0.1253679394721985,23.349931716918945,3.547698974609375,1.3864635229110718,vanilla,extrap,u_coarse,40,170,106
16,32,21.67698860168457,2.0540127754211426,0.03328670188784599,61.70670700073242,3.4584097862243652,1.443335771560669,vanilla,extrap,u_coarse,40,170,106
