,method,split,field,horizon,mu_id,k0,abs_mean,abs_max,abs_fin,rel_mean,rel_max,rel_fin,mse_fin
0,vanilla,extrap,u_coarse,40,170,113,6.807770729064941,9.91850757598877,6.738375663757324,0.15127253532409668,0.20292654633522034,0.18953831493854523,0.04434151202440262
1,vanilla,extrap,u_coarse,40,170,143,7.173043727874756,11.041150093078613,8.480863571166992,0.15322552621364594,0.26159724593162537,0.24285058677196503,0.07023930549621582
2,vanilla,extrap,u_coarse,40,170,106,7.210363864898682,10.470756530761719,7.603514194488525,0.15692411363124847,0.25437450408935547,0.21578794717788696,0.056458424776792526
3,vanilla,extrap,u_coarse,40,170,100,6.602552890777588,11.375822067260742,8.992189407348633,0.13747234642505646,0.24225179851055145,0.24225179851055145,0.07896432280540466
4,vanilla,extrap,u_coarse,40,170,144,7.319949626922607,11.049749374389648,8.221343040466309,0.1574714183807373,0.2661032974720001,0.23529526591300964,0.06600633263587952
5,vanilla,extrap,u_coarse,40,170,151,7.203114986419678,10.294955253601074,6.866979122161865,0.1592518538236618,0.22889702022075653,0.19738216698169708,0.04605019465088844
6,vanilla,extrap,u_coarse,40,170,87,6.211477279663086,9.222557067871094,8.961467742919922,0.14058496057987213,0.17935524880886078,0.14690522849559784,0.07842569053173065
7,vanilla,extrap,u_coarse,40,170,85,5.824704170227051,9.565176010131836,9.565176010131836,0.13152094185352325,0.16606111824512482,0.16067643463611603,0.08934824168682098
8,vanilla,extrap,u_coarse,40,170,134,5.460273265838623,10.175888061523438,10.175888061523438,0.1156148687005043,0.18651817739009857,0.18651817739009857,0.10112176835536957
9,vanilla,extrap,u_coarse,40,170,107,7.268434047698975,10.3903226852417,7.473282814025879,0.15908928215503693,0.2517043948173523,0.21186161041259766,0.0545409694314003
10,vanilla,extrap,u_coarse,40,127,126,3.5261597633361816,5.147191524505615,3.610513687133789,0.07993712276220322,0.09524325281381607,0.0912758857011795,0.012730281800031662
11,vanilla,extrap,u_coarse,40,127,93,2.775653123855591,4.0242204666137695,2.7799558639526367,0.06394554674625397,0.0956096425652504,0.0817466601729393,0.007547025568783283
