,step,t,dyn_sigma_max,dyn_sigma_min,dyn_cond,dec_gain,latent_err,method,split,field,horizon,mu_id,k0
0,0,15.236723899841309,2.354503870010376,0.043307192623615265,54.36750030517578,3.4300291538238525,7.500014180550352e-05,vanilla,extrap,u_coarse,80,170,97
1,16,17.749998092651367,2.6552441120147705,0.017098259180784225,155.29324340820312,3.365342617034912,0.8688454627990723,vanilla,extrap,u_coarse,80,170,97
2,32,20.263273239135742,4.136784076690674,0.0916174128651619,45.15281295776367,3.5545592308044434,1.631199598312378,vanilla,extrap,u_coarse,80,170,97
3,48,22.776546478271484,2.694854974746704,0.018593572080135345,144.9347686767578,3.028730869293213,1.3074800968170166,vanilla,extrap,u_coarse,80,170,97
4,64,25.28982162475586,5.080027103424072,0.0019049423281103373,2666.76171875,3.498505115509033,2.474733829498291,vanilla,extrap,u_coarse,80,170,97
5,80,27.8030948638916,2.558748722076416,0.02825329452753067,90.56461334228516,3.2311923503875732,2.015535831451416,vanilla,extrap,u_coarse,80,170,97
6,0,17.592918395996094,2.760784149169922,0.004384375177323818,629.68701171875,3.337252378463745,0.00012874294770881534,vanilla,extrap,u_coarse,80,170,112
7,16,20.10619354248047,4.689444065093994,0.09671654552221298,48.486473083496094,3.0925161838531494,1.756837248802185,vanilla,extrap,u_coarse,80,170,112
8,32,22.61946678161621,2.324671983718872,0.011904397048056126,195.27842712402344,3.2142558097839355,1.6319695711135864,vanilla,extrap,u_coarse,80,170,112
9,48,25.132741928100586,5.609378337860107,0.0413033701479435,135.80921936035156,3.5275518894195557,2.7950189113616943,vanilla,extrap,u_coarse,80,170,112
10,64,27.646015167236328,2.434142827987671,0.02910880744457245,83.62220764160156,3.443859815597534,2.284785509109497,vanilla,extrap,u_coarse,80,170,112
11,80,30.159290313720703,2.8130762577056885,0.018305424600839615,153.67445373535156,3.4220972061157227,2.244506597518921,vanilla,extrap,u_coarse,80,170,112
12,0,14.608406066894531,3.1841840744018555,0.07949169725179672,40.05681228637695,3.153167963027954,0.00014406976697500795,vanilla,extrap,u_coarse,80,170,93
13,16,17.121679306030273,3.2618162631988525,0.03131695091724396,104.15497589111328,3.1602554321289062,0.6376606225967407,vanilla,extrap,u_coarse,80,170,93
14,32,19.63495445251465,3.57096529006958,0.0020421543158590794,1748.6265869140625,3.0363857746124268,1.750714898109436,vanilla,extrap,u_coarse,80,170,93
15,48,22.14822769165039,2.728646755218506,0.00300584826618433,907.779296875,3.3058340549468994,1.3875961303710938,vanilla,extrap,u_coarse,80,170,93
16,64,24.661502838134766,3.2061855792999268,0.004069651942700148,787.8279418945312,3.23409366607666,1.916573166847229,vanilla,extrap,u_coarse,80,170,93
17,80,27.174776077270508,3.995105504989624,0.03244519606232643,123.13396453857422,3.453544855117798,1.9436994791030884,vanilla,extrap,u_coarse,80,170,93
18,0,14.137166976928711,3.9943511486053467,0.06112857908010483,65.34342956542969,3.5038609504699707,0.00015219378110487014,vanilla,extrap,u_coarse,80,170,90
19,16,16.650440216064453,2.3351633548736572,0.027673648670315742,84.3822021484375,3.3077120780944824,0.9024525284767151,vanilla,extrap,u_coarse,80,170,90
20,32,19.163715362548828,3.9381911754608154,0.0031191068701446056,1262.6021728515625,3.4815826416015625,2.1098034381866455,vanilla,extrap,u_coarse,80,170,90
21,48,21.67698860168457,3.072840929031372,0.010580716654658318,290.4189758300781,3.453436851501465,1.7868343591690063,vanilla,extrap,u_coarse,80,170,90
22,64,24.190263748168945,2.464587450027466,0.0022886088117957115,1076.893310546875,3.3337526321411133,2.160327911376953,vanilla,extrap,u_coarse,80,170,90
23,80,26.703536987304688,2.4363794326782227,0.1302550733089447,18.704679489135742,3.17168927192688,1.955233097076416,vanilla,extrap,u_coarse,80,170,90
24,0,17.592918395996094,2.760784149169922,0.004384375177323818,629.68701171875,3.014106273651123,0.00012874294770881534,vanilla,extrap,u_coarse,80,170,112
25,16,20.10619354248047,4.689444065093994,0.09671654552221298,48.486473083496094,3.5521183013916016,1.756837248802185,vanilla,extrap,u_coarse,80,170,112
26,32,22.61946678161621,2.324671983718872,0.011904397048056126,195.27842712402344,3.3617358207702637,1.6319695711135864,vanilla,extrap,u_coarse,80,170,112
27,48,25.132741928100586,5.609378337860107,0.0413033701479435,135.80921936035156,2.9626405239105225,2.7950189113616943,vanilla,extrap,u_coarse,80,170,112
28,64,27.646015167236328,2.434142827987671,0.02910880744457245,83.62220764160156,3.4293410778045654,2.284785509109497,vanilla,extrap,u_coarse,80,170,112
29,80,30.159290313720703,2.8130762577056885,0.018305424600839615,153.67445373535156,2.992166757583618,2.244506597518921,vanilla,extrap,u_coarse,80,170,112
30,0,18.221237182617188,2.606652021408081,0.01240582950413227,210.11509704589844,3.401167631149292,0.000106356295873411,vanilla,extrap,u_coarse,80,170,116
31,16,20.734512329101562,4.4641523361206055,0.03126160055398941,142.79986572265625,3.499725818634033,1.6731009483337402,vanilla,extrap,u_coarse,80,170,116
32,32,23.247785568237305,2.880254030227661,0.01454244926571846,198.05838012695312,3.1720476150512695,1.8957767486572266,vanilla,extrap,u_coarse,80,170,116
33,48,25.761058807373047,3.717264175415039,0.03695813566446304,100.58040618896484,3.430309295654297,2.7741575241088867,vanilla,extrap,u_coarse,80,170,116
34,64,28.274333953857422,3.2039942741394043,0.005494994577020407,583.0750732421875,3.4260542392730713,2.2938926219940186,vanilla,extrap,u_coarse,80,170,116
35,80,30.787607192993164,2.904749870300293,0.009565318934619427,303.6751708984375,3.4495689868927,2.730405330657959,vanilla,extrap,u_coarse,80,170,116
36,0,13.19468879699707,3.175924062728882,0.00816790759563446,388.82958984375,3.4612767696380615,0.00021947907225694507,vanilla,extrap,u_coarse,80,170,84
37,16,15.707962989807129,2.3611040115356445,0.008500543422996998,277.7591857910156,3.33117938041687,1.8018250465393066,vanilla,extrap,u_coarse,80,170,84
38,32,18.221237182617188,2.570148229598999,0.007177638355642557,358.0771484375,3.4630470275878906,2.6698269844055176,vanilla,extrap,u_coarse,80,170,84
39,48,20.734512329101562,2.702224016189575,0.05677095428109169,47.59870529174805,3.377296209335327,2.1893837451934814,vanilla,extrap,u_coarse,80,170,84
40,64,23.247785568237305,3.0286543369293213,0.00740914698690176,408.7723388671875,3.399036407470703,2.4285991191864014,vanilla,extrap,u_coarse,80,170,84
41,80,25.761058807373047,3.833163022994995,0.03689013794064522,103.90752410888672,3.065838575363159,3.260556936264038,vanilla,extrap,u_coarse,80,170,84
42,0,13.037609100341797,3.5186634063720703,0.05211711302399635,67.5145492553711,3.3595829010009766,0.00010791659587994218,vanilla,extrap,u_coarse,80,170,83
43,16,15.550883293151855,3.5061888694763184,0.0009428163757547736,3718.845947265625,3.2037765979766846,1.6981306076049805,vanilla,extrap,u_coarse,80,170,83
44,32,18.064157485961914,2.6731655597686768,0.019833017140626907,134.78359985351562,3.4629130363464355,2.4873456954956055,vanilla,extrap,u_coarse,80,170,83
45,48,20.57743263244629,2.987382650375366,0.0769641175866127,38.81526565551758,3.4874532222747803,2.0648906230926514,vanilla,extrap,u_coarse,80,170,83
46,64,23.09070587158203,2.769277572631836,0.0385441780090332,71.84684753417969,2.782217025756836,2.386594295501709,vanilla,extrap,u_coarse,80,170,83
47,80,25.603981018066406,3.0649735927581787,0.0027603653725236654,1110.3507080078125,3.5419578552246094,3.4612340927124023,vanilla,extrap,u_coarse,80,170,83
48,0,16.807519912719727,3.051203966140747,0.012297434732317924,248.1171112060547,3.3076484203338623,0.0001141918110079132,vanilla,extrap,u_coarse,80,170,107
49,16,19.3207950592041,3.2463741302490234,0.024855565279722214,130.6095428466797,3.1831467151641846,2.142951726913452,vanilla,extrap,u_coarse,80,170,107
50,32,21.834068298339844,3.3948259353637695,0.025464095175266266,133.31814575195312,3.4315502643585205,1.4307515621185303,vanilla,extrap,u_coarse,80,170,107
51,48,24.34734344482422,3.389402389526367,0.011034905910491943,307.1528015136719,3.3908889293670654,1.6593525409698486,vanilla,extrap,u_coarse,80,170,107
