step,t,dyn_sigma_max,dyn_sigma_min,dyn_cond,dec_gain,latent_err,method,split,field,horizon,window_id,mu_id,k0,run
0,18.001325607299805,1.75454580783844,0.017440395429730415,100.60240936279297,3.3757529258728027,0.00013496731116902083,vanilla,extrap,u_fine,320,0,170,573,11
64,20.011945724487305,3.077794313430786,0.029610391706228256,103.94304656982422,3.385770320892334,2.37723445892334,vanilla,extrap,u_fine,320,0,170,573,11
128,22.022563934326172,1.5580003261566162,0.011294952593743801,137.937744140625,3.4393250942230225,2.002040147781372,vanilla,extrap,u_fine,320,0,170,573,11
192,24.033184051513672,1.830986499786377,0.0013308532070368528,1375.7989501953125,3.3483684062957764,1.8719159364700317,vanilla,extrap,u_fine,320,0,170,573,11
256,26.04380226135254,2.579838991165161,0.008560131303966045,301.3784484863281,3.5417721271514893,2.4449126720428467,vanilla,extrap,u_fine,320,0,170,573,11
320,28.05442237854004,2.168482542037964,0.027946166694164276,77.5949935913086,3.4393880367279053,2.3478052616119385,vanilla,extrap,u_fine,320,0,170,573,11
0,20.169025421142578,2.7775561809539795,0.018845010548830032,147.3894805908203,3.4855611324310303,0.0001906695106299594,vanilla,extrap,u_fine,320,1,170,642,11
64,22.179643630981445,1.8942983150482178,0.015662822872400284,120.94232940673828,3.1718528270721436,1.658435583114624,vanilla,extrap,u_fine,320,1,170,642,11
128,24.190263748168945,1.7854758501052856,0.02360612526535988,75.63612365722656,3.433359384536743,2.054530382156372,vanilla,extrap,u_fine,320,1,170,642,11
192,26.200881958007812,3.202010154724121,0.04953993111848831,64.63493347167969,3.5185317993164062,2.3664684295654297,vanilla,extrap,u_fine,320,1,170,642,11
256,28.211502075195312,1.954952359199524,0.029212919995188713,66.92081451416016,3.4332592487335205,2.393425464630127,vanilla,extrap,u_fine,320,1,170,642,11
320,30.222122192382812,2.1478540897369385,0.0005429190932773054,3956.121826171875,3.4153835773468018,2.1737060546875,vanilla,extrap,u_fine,320,1,170,642,11
0,17.49867057800293,2.0164923667907715,0.006225998513400555,323.882568359375,3.329937219619751,0.00010839446622412652,vanilla,extrap,u_fine,320,2,170,557,11
64,19.50929069519043,3.150360584259033,0.037532150745391846,83.93765258789062,3.3710076808929443,1.9755336046218872,vanilla,extrap,u_fine,320,2,170,557,11
128,21.519908905029297,2.2800259590148926,0.003568426240235567,638.9443969726562,3.469259738922119,2.1250011920928955,vanilla,extrap,u_fine,320,2,170,557,11
192,23.530529022216797,2.069756031036377,0.01916070096194744,108.0208969116211,3.2928833961486816,1.6977736949920654,vanilla,extrap,u_fine,320,2,170,557,11
256,25.541149139404297,3.327392816543579,0.006422384176403284,518.0930786132812,3.5369646549224854,2.6129250526428223,vanilla,extrap,u_fine,320,2,170,557,11
320,27.551767349243164,2.521383047103882,0.054928578436374664,45.90293502807617,3.467517375946045,2.698718547821045,vanilla,extrap,u_fine,320,2,170,557,11
0,17.09026336669922,1.8772493600845337,0.005318504758179188,352.96563720703125,3.3110764026641846,0.0001359114539809525,vanilla,extrap,u_fine,320,3,170,544,11
64,19.10088348388672,3.1806888580322266,0.02845396101474762,111.78369140625,3.323174238204956,2.2257866859436035,vanilla,extrap,u_fine,320,3,170,544,11
128,21.111501693725586,2.533592462539673,0.07166075706481934,35.355369567871094,3.482246160507202,2.3961997032165527,vanilla,extrap,u_fine,320,3,170,544,11
192,23.122121810913086,2.0484848022460938,0.03032059408724308,67.56083679199219,3.299912691116333,1.5790687799453735,vanilla,extrap,u_fine,320,3,170,544,11
256,25.132741928100586,2.876380443572998,0.01592889428138733,180.57627868652344,3.5033411979675293,2.5676896572113037,vanilla,extrap,u_fine,320,3,170,544,11
320,27.143360137939453,2.6374258995056152,0.06027643010020256,43.75550842285156,3.493122100830078,2.588231325149536,vanilla,extrap,u_fine,320,3,170,544,11
0,20.200441360473633,2.6899311542510986,0.023716265335679054,113.4213638305664,3.485507011413574,0.00018700658984016627,vanilla,extrap,u_fine,320,4,170,643,11
64,22.2110595703125,1.9269466400146484,0.01726199872791767,111.62940216064453,3.1549081802368164,1.642161250114441,vanilla,extrap,u_fine,320,4,170,643,11
128,24.2216796875,1.778855800628662,0.026551563292741776,66.99627685546875,3.4365429878234863,2.0530436038970947,vanilla,extrap,u_fine,320,4,170,643,11
192,26.232297897338867,3.0898048877716064,0.05197685956954956,59.445777893066406,3.5182371139526367,2.3476195335388184,vanilla,extrap,u_fine,320,4,170,643,11
256,28.242918014526367,1.8497347831726074,0.028253305703401566,65.46967315673828,3.4328770637512207,2.376844882965088,vanilla,extrap,u_fine,320,4,170,643,11
320,30.253538131713867,2.195098400115967,0.0014187571359798312,1547.1981201171875,3.4178595542907715,2.188800573348999,vanilla,extrap,u_fine,320,4,170,643,11
0,20.671680450439453,2.5236294269561768,0.07218432426452637,34.960906982421875,3.4815263748168945,6.693650357192382e-05,vanilla,extrap,u_fine,320,5,170,658,11
64,22.68229866027832,1.8440667390823364,0.018366245552897453,100.40521240234375,2.91097354888916,1.360901117324829,vanilla,extrap,u_fine,320,5,170,658,11
128,24.69291877746582,2.2159266471862793,0.03222307562828064,68.76831817626953,3.4715657234191895,2.1378157138824463,vanilla,extrap,u_fine,320,5,170,658,11
192,26.703536987304688,2.9376158714294434,0.010427323170006275,281.722900390625,3.5146498680114746,2.206686019897461,vanilla,extrap,u_fine,320,5,170,658,11
256,28.714157104492188,1.8020583391189575,0.032956041395664215,54.680667877197266,3.411285638809204,2.1107301712036133,vanilla,extrap,u_fine,320,5,170,658,11
320,30.724775314331055,2.29370379447937,0.03459634259343147,66.29902648925781,3.450740098953247,2.499206304550171,vanilla,extrap,u_fine,320,5,170,658,11
0,16.179203033447266,1.5216546058654785,0.02421671710908413,62.83488464355469,3.3358583450317383,0.00010998761717928573,vanilla,extrap,u_fine,320,6,170,515,11
64,18.189821243286133,1.9964101314544678,0.028867708519101143,69.15721130371094,3.345438003540039,1.736356258392334,vanilla,extrap,u_fine,320,6,170,515,11
128,20.200441360473633,2.8439388275146484,0.03247860446572304,87.5634536743164,3.530688524246216,2.448171854019165,vanilla,extrap,u_fine,320,6,170,515,11
192,22.2110595703125,1.756781816482544,0.011469301767647266,153.17251586914062,3.397545337677002,1.9011396169662476,vanilla,extrap,u_fine,320,6,170,515,11
256,24.2216796875,2.046125888824463,0.03307872265577316,61.85625457763672,3.4227752685546875,2.0224215984344482,vanilla,extrap,u_fine,320,6,170,515,11
320,26.232297897338867,3.340569257736206,0.07073088735342026,47.229286193847656,3.534559965133667,2.4776055812835693,vanilla,extrap,u_fine,320,6,170,515,11
0,16.053539276123047,1.472338318824768,0.02816946804523468,52.26716613769531,3.3445639610290527,0.0001160031242761761,vanilla,extrap,u_fine,320,7,170,511,11
64,18.064157485961914,1.824864387512207,0.0249357707798481,73.1825942993164,3.322885274887085,1.5013383626937866,vanilla,extrap,u_fine,320,7,170,511,11
